year,physics,chemistry,medicine,literature,peace,economics
1901.0,Wilhelm Röntgen,Jacobus Henricus van 't Hoff,Emil von Behring,Sully Prudhomme,Henry Dunant;Frédéric Passy,—
1902.0,Hendrik Lorentz;Pieter Zeeman,Emil Fischer,Ronald Ross,Theodor Mommsen,Élie Ducommun;Charles Albert Gobat,No award this year
1903.0,Henri Becquerel;Pierre Curie;Marie Curie,Svante Arrhenius,Niels Ryberg Finsen,Bjørnstjerne Bjørnson,Randal Cremer,No award this year
1904.0,Lord Rayleigh,William Ramsay,Ivan Pavlov,Frédéric Mistral;José Echegaray,Institut de Droit International,No award this year
1905.0,Philipp Lenard,Adolf von Baeyer,Robert Koch,Henryk Sienkiewicz,Bertha von Suttner,No award this year
1906.0,J. J. Thomson,Henri Moissan,Camillo Golgi;Santiago Ramón y Cajal,Giosuè Carducci,Theodore Roosevelt,No award this year
1907.0,Albert A. Michelson,Eduard Buchner,Charles Louis Alphonse Laveran,Rudyard Kipling,Ernesto Teodoro Moneta;Louis Renault,No award this year
1908.0,Gabriel Lippmann,Ernest Rutherford,Élie Metchnikoff;Paul Ehrlich,Rudolf Christoph Eucken,Klas Pontus Arnoldson;Fredrik Bajer,No award this year
1909.0,Karl Ferdinand Braun;Guglielmo Marconi,Wilhelm Ostwald,Emil Theodor Kocher,Selma Lagerlöf,Auguste Beernaert;Paul Henri Balluet d'Estournelles de Constant,No award this year
1910.0,Johannes Diderik van der Waals,Otto Wallach,Albrecht Kossel,Paul Heyse,International Peace Bureau,No award this year
1911.0,Wilhelm Wien,Marie Curie,Allvar Gullstrand,Maurice Maeterlinck,Tobias Asser;Alfred Hermann Fried,No award this year
1912.0,Gustaf Dalén,Victor Grignard;Paul Sabatier,Alexis Carrel,Gerhart Hauptmann,Elihu Root,No award this year
1913.0,Heike Kamerlingh Onnes,Alfred Werner,Charles Richet,Rabindranath Tagore,Henri La Fontaine,No award this year
1914.0,Max von Laue,Theodore William Richards,Robert Bárány,No award this year,No award this year,No award this year
1915.0,William Henry Bragg;Lawrence Bragg,Richard Willstätter,No award this year,Romain Rolland,No award this year,No award this year
1916.0,No award this year,No award this year,No award this year,Verner von Heidenstam,No award this year,No award this year
1917.0,Charles Glover Barkla,No award this year,No award this year,Karl Adolph Gjellerup;Henrik Pontoppidan,International Committee of the Red Cross,No award this year
1918.0,Max Planck,Fritz Haber,No award this year,No award this year,No award this year,No award this year
1919.0,Johannes Stark,No award this year,Jules Bordet,Carl Spitteler,Woodrow Wilson,No award this year
1920.0,Charles Édouard Guillaume,Walther Nernst,August Krogh,Knut Hamsun,Léon Bourgeois,No award this year
1921.0,Albert Einstein,Frederick Soddy,No award this year,Anatole France,Hjalmar Branting;Christian Lous Lange,No award this year
1922.0,Niels Bohr,Francis William Aston,Archibald Hill;Otto Fritz Meyerhof,Jacinto Benavente,Fridtjof Nansen,No award this year
1923.0,Robert Andrews Millikan,Fritz Pregl,Frederick Banting;John Macleod,W. B. Yeats,No award this year,No award this year
1924.0,Manne Siegbahn,No award this year,Willem Einthoven,Władysław Reymont,No award this year,No award this year
1925.0,James Franck;Gustav Ludwig Hertz,Richard Adolf Zsigmondy,No award this year,George Bernard Shaw,Austen Chamberlain;Charles G. Dawes,No award this year
1926.0,Jean Baptiste Perrin,Theodor Svedberg,Johannes Fibiger,Grazia Deledda,Aristide Briand;Gustav Stresemann,No award this year
1927.0,Arthur Compton;Charles Thomson Rees Wilson,Heinrich Otto Wieland,Julius Wagner-Jauregg,Henri Bergson,Ferdinand Buisson;Ludwig Quidde,No award this year
1928.0,Owen Willans Richardson,Adolf Windaus,Charles Nicolle,Sigrid Undset,No award this year,No award this year
1929.0,Louis de Broglie,Arthur Harden;Hans von Euler-Chelpin,Christiaan Eijkman;Frederick Gowland Hopkins,Thomas Mann,Frank B. Kellogg,No award this year
1930.0,C. V. Raman,Hans Fischer,Karl Landsteiner,Sinclair Lewis,Nathan Söderblom,No award this year
1931.0,No award this year,Carl Bosch;Friedrich Bergius,Otto Heinrich Warburg,Erik Axel Karlfeldt,Jane Addams;Nicholas Murray Butler,No award this year
1932.0,Werner Heisenberg,Irving Langmuir,Charles Scott Sherrington;Edgar Adrian,John Galsworthy,No award this year,No award this year
1933.0,Erwin Schrödinger;Paul Dirac,No award this year,Thomas Hunt Morgan,Ivan Bunin,Norman Angell,No award this year
1934.0,No award this year,Harold Urey,George Whipple;George Minot;William P. Murphy,Luigi Pirandello,Arthur Henderson,No award this year
1935.0,James Chadwick,Frédéric Joliot-Curie;Irène Joliot-Curie,Hans Spemann,No award this year,Carl von Ossietzky,No award this year
1936.0,Victor Francis Hess;Carl David Anderson,Peter Debye,Henry Hallett Dale;Otto Loewi,Eugene O'Neill,Carlos Saavedra Lamas,No award this year
1937.0,Clinton Davisson;George Paget Thomson,Norman Haworth;Paul Karrer,Albert Szent-Györgyi,Roger Martin du Gard,"Robert Cecil, 1st Viscount Cecil of Chelwood",No award this year
1938.0,Enrico Fermi,Richard Kuhn[b],Corneille Heymans,Pearl S. Buck,Nansen International Office for Refugees,No award this year
1939.0,Ernest Lawrence,Adolf Butenandt;[b]Leopold Ružička,Gerhard Domagk[b],Frans Eemil Sillanpää,No award this year,No award this year
1940.0,Cancelled due to World War II,No award this year,No award this year,No award this year,No award this year,No award this year
1941.0,No award this year,No award this year,No award this year,No award this year,No award this year,No award this year
1942.0,No award this year,No award this year,No award this year,No award this year,No award this year,No award this year
1943.0,Otto Stern,George de Hevesy,Henrik Dam;Edward Adelbert Doisy,No award this year,No award this year,No award this year
1944.0,Isidor Isaac Rabi,Otto Hahn,Joseph Erlanger;Herbert Spencer Gasser,Johannes V. Jensen,International Committee of the Red Cross,No award this year
1945.0,Wolfgang Pauli,Artturi Ilmari Virtanen,Alexander Fleming;Ernst Chain;Howard Florey,Gabriela Mistral,Cordell Hull,No award this year
1946.0,Percy Williams Bridgman,James B. Sumner;John Howard Northrop;Wendell Meredith Stanley,Hermann Joseph Muller,Hermann Hesse,Emily Greene Balch;John Mott,No award this year
1947.0,Edward Victor Appleton,Robert Robinson,Carl Ferdinand Cori;Gerty Cori;Bernardo Houssay,André Gide,Friends Service Council;American Friends Service Committee,No award this year
1948.0,Patrick Blackett,Arne Tiselius,Paul Hermann Müller,T. S. Eliot,None[c],No award this year
1949.0,Hideki Yukawa,William Giauque,Walter Rudolf Hess;António Egas Moniz,William Faulkner,John Boyd Orr,No award this year
1950.0,C. F. Powell,Otto Diels;Kurt Alder,Philip Showalter Hench;Edward Calvin Kendall;Tadeus Reichstein,Bertrand Russell,Ralph Bunche,No award this year
1951.0,John Cockcroft;Ernest Walton,Edwin McMillan;Glenn T. Seaborg,Max Theiler,Pär Lagerkvist,Léon Jouhaux,No award this year
1952.0,Felix Bloch;Edward Mills Purcell,Archer Martin;Richard Laurence Millington Synge,Selman Waksman,François Mauriac,Albert Schweitzer,No award this year
1953.0,Frits Zernike,Hermann Staudinger,Hans Adolf Krebs;Fritz Albert Lipmann,Winston Churchill,George Marshall,No award this year
1954.0,Max Born;Walther Bothe,Linus Pauling,John Franklin Enders;Frederick Chapman Robbins;Thomas Huckle Weller,Ernest Hemingway,United Nations High Commissioner for Refugees,No award this year
1955.0,Willis Lamb;Polykarp Kusch,Vincent du Vigneaud,Hugo Theorell,Halldór Laxness,No award this year,No award this year
1956.0,John Bardeen;Walter Houser Brattain;William Shockley,Cyril Norman Hinshelwood;Nikolay Semyonov,André Frédéric Cournand;Werner Forssmann;Dickinson W. Richards,Juan Ramón Jiménez,No award this year,No award this year
1957.0,Yang Chen-Ning;Tsung-Dao Lee,The Lord Todd,Daniel Bovet,Albert Camus,Lester B. Pearson,No award this year
1958.0,Pavel Cherenkov;Ilya Frank;Igor Tamm,Frederick Sanger,George Beadle;Edward Tatum;Joshua Lederberg,Boris Pasternak[d],Dominique Pire,No award this year
1959.0,Emilio Segrè;Owen Chamberlain,Jaroslav Heyrovský,Arthur Kornberg;Severo Ochoa,Salvatore Quasimodo,Philip Noel-Baker,No award this year
1960.0,Donald A. Glaser,Willard Libby,Macfarlane Burnet;Peter Medawar,Saint-John Perse,Albert Lutuli,No award this year
1961.0,Robert Hofstadter;Rudolf Mössbauer,Melvin Calvin,Georg von Békésy,Ivo Andrić,Dag Hammarskjöld,No award this year
1962.0,Lev Landau,Max Perutz;John Kendrew,Francis Crick;James Watson;Maurice Wilkins,John Steinbeck,Linus Pauling,No award this year
1963.0,Eugene Wigner;Maria Goeppert Mayer;J. Hans D. Jensen,Karl Ziegler;Giulio Natta,John Eccles;Alan Hodgkin;Andrew Huxley,Giorgos Seferis,International Committee of the Red Cross;League of Red Cross societies,No award this year
1964.0,Charles H. Townes;Nikolay Basov;Alexander Prokhorov,Dorothy Hodgkin,Konrad Emil Bloch;Feodor Lynen,Jean-Paul Sartre[e],Martin Luther King Jr.,No award this year
1965.0,Shin'ichirō Tomonaga;Julian Schwinger;Richard Feynman,Robert Burns Woodward,François Jacob;André Michel Lwoff;Jacques Monod,Mikhail Sholokhov,United Nations International Children's Emergency Fund,No award this year
1966.0,Alfred Kastler,Robert S. Mulliken,Francis Peyton Rous;Charles Brenton Huggins,Shmuel Yosef Agnon;Nelly Sachs,No award this year,No award this year
1967.0,Hans Bethe,Manfred Eigen;Ronald George Wreyford Norrish;George Porter,Ragnar Granit;Haldan Keffer Hartline;George Wald,Miguel Ángel Asturias,No award this year,No award this year
1968.0,Luis Walter Alvarez,Lars Onsager,Robert W. Holley;Har Gobind Khorana;Marshall Warren Nirenberg,Yasunari Kawabata,René Cassin,No award this year
1969.0,Murray Gell-Mann,Derek Barton;Odd Hassel,Max Delbrück;Alfred Hershey;Salvador Luria,Samuel Beckett,International Labour Organization,Ragnar Frisch;Jan Tinbergen
1970.0,Hannes Alfvén;Louis Néel,Luis Federico Leloir,Julius Axelrod;Ulf von Euler;Bernard Katz,Aleksandr Solzhenitsyn,Norman Borlaug,Paul Samuelson
1971.0,Dennis Gabor,Gerhard Herzberg,Earl Wilbur Sutherland Jr.,Pablo Neruda,Willy Brandt,Simon Kuznets
1972.0,John Bardeen;Leon Cooper;John Robert Schrieffer,Christian B. Anfinsen;Stanford Moore;William Howard Stein,Gerald Edelman;Rodney Robert Porter,Heinrich Böll,No award this year,John Hicks;Kenneth Arrow
1973.0,Leo Esaki;Ivar Giaever;Brian Josephson,Ernst Otto Fischer;Geoffrey Wilkinson,Karl von Frisch;Konrad Lorenz;Nikolaas Tinbergen,Patrick White,Henry Kissinger;Lê Đức Thọ[f],Wassily Leontief
1974.0,Martin Ryle;Antony Hewish,Paul Flory,Albert Claude;Christian de Duve;George Emil Palade,Eyvind Johnson;Harry Martinson,Seán MacBride;Eisaku Satō,Gunnar Myrdal;Friedrich Hayek
1975.0,Aage Bohr;Ben Roy Mottelson;James Rainwater,John Cornforth;Vladimir Prelog,David Baltimore;Renato Dulbecco;Howard Martin Temin,Eugenio Montale,Andrei Sakharov,Leonid Kantorovich;Tjalling Koopmans
1976.0,Burton Richter;Samuel C. C. Ting,William Lipscomb,Baruch Samuel Blumberg;Daniel Carleton Gajdusek,Saul Bellow,Betty Williams;Mairead Maguire,Milton Friedman
1977.0,Philip W. Anderson;Nevill Francis Mott;John Hasbrouck Van Vleck,Ilya Prigogine,Roger Guillemin;Andrew Schally;Rosalyn Sussman Yalow,Vicente Aleixandre,Amnesty International,Bertil Ohlin;James Meade
1978.0,Pyotr Kapitsa;Arno Allan Penzias;Robert Woodrow Wilson,Peter D. Mitchell,Werner Arber;Daniel Nathans;Hamilton O. Smith,Isaac Bashevis Singer,Anwar Sadat;Menachem Begin,Herbert A. Simon
1979.0,Sheldon Glashow;Abdus Salam;Steven Weinberg,Herbert C. Brown;Georg Wittig,Allan McLeod Cormack;Godfrey Hounsfield,Odysseas Elytis,Mother Teresa,Theodore Schultz;W. Arthur Lewis
1980.0,James Cronin;Val Logsdon Fitch,Paul Berg;Walter Gilbert;Frederick Sanger,Baruj Benacerraf;Jean Dausset;George Davis Snell,Czesław Miłosz,Adolfo Pérez Esquivel,Lawrence Klein
1981.0,Nicolaas Bloembergen;Arthur Leonard Schawlow;Kai Siegbahn,Kenichi Fukui;Roald Hoffmann,Roger Wolcott Sperry;David H. Hubel;Torsten Wiesel,Elias Canetti,United Nations High Commissioner for Refugees,James Tobin
